survey3,HHID3,IndID3,mainActivity,mainmode,numAccomp,parkType,wf3,TrvlTime,TrvlDist,StayTime
bsh,1001160,2,1,10,3,9,25.348415,9.86667,3.83873,411.717
bsh,1001160,3,1,0,1,9,25.348415,,,274.983
bsh,1001160,3,4,11,3,9,25.348415,1.01667,0.501631,354
bsh,1001160,3,1,1,1,9,25.348415,7,0.501631,273
bsh,1001160,3,11,11,3,9,25.348415,10.85,3.46413,79.3833
bsh,1001160,3,11,11,3,9,25.348415,2.76667,0.446019,15.3833
bsh,1001160,3,1,11,3,9,25.348415,9.86667,3.83873,411.717
bsh,1001160,4,1,0,1,9,25.348415,,,274.983
bsh,1001160,4,4,11,3,9,25.348415,1.01667,0.501631,490.983
bsh,1001160,4,1,11,2,9,25.348415,1.01667,0.501631,142
bsh,1001160,4,11,11,3,9,25.348415,10.85,3.46413,79.3833
bsh,1001160,4,11,11,3,9,25.348415,2.76667,0.446019,15.3833
bsh,1001160,4,1,11,3,9,25.348415,9.86667,3.83873,411.717
bsh,1001160,5,1,0,1,9,25.348415,,,274.983
bsh,1001160,5,4,11,3,9,25.348415,1.01667,0.501631,490.983
bsh,1001160,5,1,11,2,9,25.348415,1.01667,0.501631,142
bsh,1001160,5,11,11,3,9,25.348415,10.85,3.46413,79.3833
bsh,1001160,5,11,11,3,9,25.348415,2.76667,0.446019,15.3833
bsh,1001160,5,1,11,3,9,25.348415,9.86667,3.83873,411.717
bsh,1001180,1,1,0,1,9,25.348415,,,492
bsh,1001180,1,8,1,1,9,25.348415,1.98333,0.178484,24.0167
bsh,1001180,1,1,1,1,9,25.348415,1.98333,0.178484,919
bsh,1001180,2,1,0,1,9,25.348415,,,1439.97
bsh,1001180,3,1,0,1,9,25.348415,,,347.467
bsh,1001180,3,3,10,1,9,25.348415,6.18333,2.27467,4.16667
bsh,1001180,3,3,10,1,9,25.348415,2.41667,1.80194,239.75
bsh,1001180,3,1,10,1,9,25.348415,10,3.58638,829.983
bsh,1001180,4,1,0,1,9,25.348415,,,1439.97
bsh,1001180,5,1,0,1,9,25.348415,,,1439.97
bsh,1001200,1,1,0,1,9,25.348415,,,272.017
bsh,1001200,1,11,10,4,9,25.348415,10.6667,2.69846,1.45
bsh,1001200,1,11,10,3,9,25.348415,3.05,0.484012,0.783333
bsh,1001200,1,6,10,1,9,25.348415,11.1833,2.20095,44.8
bsh,1001200,1,5,10,1,9,25.348415,3.46667,0.946126,18.0167
bsh,1001200,1,1,10,1,9,25.348415,6.66667,2.7219,133.083
bsh,1001200,1,6,10,1,9,25.348415,7.08333,2.7666,59.7
bsh,1001200,1,1,10,1,9,25.348415,5.56667,2.7666,179.733
bsh,1001200,1,11,10,1,9,25.348415,8.46667,2.72766,3.8
bsh,1001200,1,11,10,2,9,25.348415,4.66667,0.63025,18.3667
bsh,1001200,1,9,10,4,9,25.348415,8.06667,1.87369,65.3667
bsh,1001200,1,1,10,4,9,25.348415,10.0833,2.61821,563.883
bsh,1001200,2,1,0,1,9,25.348415,,,272.167
bsh,1001200,2,2,11,4,9,25.348415,12.5333,2.69846,484.833
bsh,1001200,2,11,11,2,9,25.348415,4.66667,0.610377,18.3333
bsh,1001200,2,9,11,4,9,25.348415,8.11667,1.87369,66.1833
bsh,1001200,2,1,11,4,9,25.348415,9.83333,2.61821,563.3
bsh,1001200,3,1,0,1,9,25.348415,,,271.983
bsh,1001200,3,11,11,4,9,25.348415,10.7,2.69846,1.45
bsh,1001200,3,4,11,3,9,25.348415,3.05,0.484012,332.817
bsh,1001200,3,7,1,1,9,25.348415,5,0.177012,167
bsh,1001200,3,9,11,4,9,25.348415,8.63333,1.87369,65.3667
bsh,1001200,3,1,11,4,9,25.348415,10.0833,2.61821,563.883
bsh,1001200,4,1,0,1,9,25.348415,,,271.983
bsh,1001200,4,11,11,4,9,25.348415,10.7,2.69846,1.45
bsh,1001200,4,4,11,3,9,25.348415,3.05,0.484012,442.817
bsh,1001200,4,7,1,1,9,25.348415,4.98333,0.177012,57.0167
bsh,1001200,4,9,11,4,9,25.348415,8.63333,1.87369,65.3667
bsh,1001200,4,1,11,4,9,25.348415,10.0833,2.61821,563.883
bsh,1001200,5,1,0,1,9,25.348415,,,271.983
bsh,1001200,5,11,11,4,9,25.348415,10.7,2.69846,1.45
bsh,1001200,5,11,11,3,9,25.348415,3.05,0.484012,0.783333
