survey2,hhid2,indID,relat,gender,age,degree,wf2
bsh,1002080,1,3,2,44,5,43.960041
bsh,1002080,2,3,1,46,6,43.960041
bsh,1002080,3,4,2,22,3,43.960041
bsh,1002080,4,4,1,15,,43.960041
bsh,1002090,1,3,2,39,6,43.960041
bsh,1002090,2,3,1,39,3,43.960041
bsh,1002090,3,4,1,17,,43.960041
bsh,1002090,4,4,2,9,,43.960041
bsh,1002100,1,3,2,40,5,43.960041
bsh,1002100,2,4,2,15,,43.960041
bsh,1002100,3,4,2,1,,43.960041
bsh,1002120,1,3,1,37,5,43.960041
bsh,1002120,2,3,2,35,6,43.960041
bsh,1002120,3,4,1,7,,43.960041
bsh,1002120,4,4,1,4,,43.960041
bsh,1002120,5,4,1,3,,43.960041
bsh,1002140,1,3,2,35,5,43.960041
bsh,1002140,2,3,1,37,2,43.960041
bsh,1002140,3,4,1,7,,43.960041
bsh,1002140,4,4,2,2,,43.960041
bsh,1002150,1,3,2,36,7,43.960041
bsh,1002150,2,3,1,42,6,43.960041
bsh,1002150,3,4,2,10,,43.960041
bsh,1002160,1,2,2,53,5,43.960041
bsh,1002160,2,2,1,55,2,43.960041
bsh,1002160,3,6,1,86,2,43.960041
bsh,1002170,1,3,1,34,5,43.960041
bsh,1002170,2,3,2,35,3,43.960041
bsh,1002170,3,4,1,3,,43.960041
bsh,1002170,4,4,1,2,,43.960041
bsh,1002190,1,3,2,34,2,43.960041
bsh,1002190,2,3,1,41,5,43.960041
bsh,1002190,3,4,1,13,,43.960041
bsh,1002190,4,4,1,9,,43.960041
bsh,1002190,5,4,1,3,,43.960041
bsh,1002200,1,3,1,60,5,43.960041
bsh,1002200,2,3,2,60,3,43.960041
bsh,1002200,3,4,1,36,3,43.960041
bsh,1002210,1,3,1,34,2,43.960041
bsh,1002210,2,3,2,30,3,43.960041
bsh,1002210,3,4,2,6,,43.960041
bsh,1002210,4,4,1,1,,43.960041
bsh,1002220,1,3,2,31,5,43.960041
bsh,1002220,2,3,1,35,2,43.960041
bsh,1002220,3,4,2,8,,43.960041
bsh,1002220,4,4,1,6,,43.960041
bsh,1002230,1,3,2,31,3,43.960041
bsh,1002230,2,3,1,32,2,43.960041
bsh,1002230,3,4,2,6,,43.960041
bsh,1002230,4,4,2,3,,43.960041
bsh,1002260,1,3,2,30,5,43.960041
bsh,1002260,2,3,1,33,5,43.960041
bsh,1002260,3,4,2,5,,43.960041
bsh,1002260,4,4,2,1,,43.960041
bsh,1002270,1,3,2,29,3,43.960041
bsh,1002270,2,3,1,31,3,43.960041
bsh,1002270,3,4,1,4,,43.960041
bsh,1002270,4,4,2,1,,43.960041
bsh,1002290,1,3,2,38,3,43.960041
bsh,1002290,2,3,1,38,3,43.960041
bsh,1002290,3,4,2,13,,43.960041
bsh,1002290,4,4,2,12,,43.960041
bsh,1002290,5,4,2,5,,43.960041
bsh,1002290,6,4,1,3,,43.960041
bsh,1002300,1,2,2,29,5,34.472309
bsh,1002300,2,2,1,29,5,34.472309
bsh,1002320,1,3,2,32,5,43.960041
bsh,1002320,2,3,1,39,6,43.960041
bsh,1002320,3,4,2,2,,43.960041
bsh,1002320,4,4,2,1,,43.960041
bsh,1002360,1,3,1,29,3,43.960041
bsh,1002360,2,3,2,27,3,43.960041
bsh,1002360,3,4,1,2,,43.960041
bsh,1002370,1,3,2,29,5,43.960041
bsh,1002370,2,3,1,29,3,43.960041
bsh,1002370,3,4,1,5,,43.960041
bsh,1002370,4,4,2,2,,43.960041
bsh,1002410,1,7,1,27,3,9.115689
bsh,1002410,2,7,2,26,3,9.115689
bsh,1002420,1,1,2,52,1,20.75
bsh,1002440,1,1,2,24,3,20.75
bsh,1002460,1,1,1,27,3,20.75
bsh,1002470,1,1,2,26,3,20.75
bsh,1002490,1,9,2,23,3,9.115689
bsh,1002490,2,9,2,24,3,9.115689
bsh,1002500,1,1,1,25,3,20.75
bsh,1002530,1,9,1,24,3,37.85928
bsh,1002530,2,9,1,23,3,37.85928
bsh,1002530,3,9,2,24,3,37.85928
bsh,1002540,1,2,1,26,3,9.115689
bsh,1002540,2,2,2,25,3,9.115689
bsh,1002593,1,3,2,50,4,37.85928
bsh,1002593,2,4,2,26,5,37.85928
bsh,1002593,3,4,2,24,3,37.85928
bsh,1002610,1,3,2,54,1,9.115689
bsh,1002610,2,4,1,30,4,9.115689
bsh,1002630,1,3,1,32,3,37.85928
bsh,1002630,2,3,2,27,5,37.85928
bsh,1002630,3,4,1,2,,37.85928
bsh,1002720,1,3,2,30,2,47.58638
bsh,1002720,2,4,2,9,,47.58638
bsh,1002720,3,4,1,7,,47.58638
bsh,1002730,1,9,1,20,3,36.297398
bsh,1002730,2,9,1,22,3,36.297398
bsh,1002730,3,9,1,22,3,36.297398
bsh,1002740,1,3,1,58,3,36.297398
bsh,1002740,2,3,2,50,5,36.297398
bsh,1002740,3,4,2,28,3,36.297398
bsh,1002810,1,3,2,30,3,36.297398
bsh,1002810,2,4,1,12,,36.297398
bsh,1002810,3,4,1,5,,36.297398
bsh,1002810,4,4,1,4,,36.297398
bsh,1002820,1,1,1,50,4,30.450001
bsh,1002830,1,2,1,26,3,18.024281
bsh,1002830,2,2,2,25,3,18.024281
